,title,author,release year,synopsis,book length,rating,number of ratings
503,Something Wilder (Hardcover),Christina Lauren,2022,"Growing up the daughter of notorious treasure hunter and absentee father Duke Wilder left Lily without much patience for the profession… or much money in the bank. But Lily is nothing if not resourceful, and now uses Duke’s coveted hand-drawn maps to guide tourists on fake treasure hunts through the red rock canyons of Utah. It pays the bills but doesn’t leave enough to fu",384,3.74,42112
504,"The Bronze Horseman (The Bronze Horseman, #1)",Paullina Simons,2000,"Librarian note: alternate covers for this edition can be found here and here and here.During the summer of 1941 the Metanov family are living a hard life in Leningrad. As the German armies advance their future looks bleak. For Tatiana, love arrives in the guise of Alexander, who harbours a deadly and extraordinary secret.",637,4.3,78595
505,Love in the Time of Cholera (Paperback),Gabriel García Márquez,1985,"In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is heartbroken, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs—yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the",348,3.93,466520
506,"Life's Too Short (The Friend Zone, #3)",Abby Jimenez,2021,"A brilliant and touching romantic comedy about two polar opposites, one adorable dog, and living each day to its fullest.When Vanessa Price quit her job to pursue her dream of traveling the globe, she wasn't expecting to gain millions of YouTube followers who shared her joy of seizing every moment. For her, living each day to its fullest isn't just a motto. Her mother and ",384,4.21,53005
507,Just the Sexiest Man Alive (Mass Market Paperback),Julie James,2008,"No woman could resist him—except the one he wanted most...Cool, Calm, Collected...Nothing fazes Taylor Donovan. In the courtroom she never lets the opposition see her sweat. In her personal life, she never lets any man rattle her—not even her cheating ex-fiancé. So when she's assigned to coach People's ""Sexiest Man Alive"" for his role in his next big legal thriller, she re",296,3.92,44264
508,"The Heiress Effect (Brothers Sinister, #2)",Courtney Milan,2013,"Miss Jane Fairfield can’t do anything right. When she’s in company, she always says the wrong thing—and rather too much of it. No matter how costly they are, her gowns fall on the unfortunate side of fashion. Even her immense dowry can’t save her from being an object of derision.And that’s precisely what she wants. She’ll do anything, even risk humiliation, if it means she",280,3.91,14403
509,"Sugar Daddy (Travises, #1)",Lisa Kleypas,2007,"
She's from the wrong side of the tracks.
Liberty Jones has dreams and determination that will take her far away from Welcome, Texas—if she can keep her wild heart from ruling her mind. Hardy Cates sees Liberty as completely off-limits. His own ambitions are bigger than Welcome, and Liberty Jones is a complication he doesn't need. But something magical and potent draws t",371,4.01,42517
510,An Enchantment of Ravens (Hardcover),Margaret  Rogerson,2017,"Every enchantment has a price.With a flick of her paintbrush, Isobel creates stunning portraits for a dangerous set of clients: the fair folk. These immortal creatures cannot bake bread or put a pen to paper without crumbling to dust. They crave human Craft with a terrible thirst, and they trade valuable enchantments for Isobel’s paintings. But when she receives her first ",304,3.65,73870
511,Weather Girl (Paperback),Rachel Lynn Solomon,2022,"Ari Abrams has always been fascinated by the weather, and she loves almost everything about her job as a TV meteorologist. Her boss, legendary Seattle weatherwoman Torrance Hale, is too distracted by her tempestuous relationship with her ex-husband, the station’s news director, to give Ari the mentorship she wants. Ari, who runs on sunshine and optimism, is at her wits’ en",330,3.69,25101
512,"A Promise of Fire (Kingmaker Chronicles, #1)",Amanda Bouchet,2016,"KINGDOMS WILL RISE AND FALL FOR HER...Cat Fisa isn't who she pretends to be. She's perfectly content disguised as a soothsayer in a traveling circus, avoiding the destiny the Gods—and her dangerous family—have saddled her with. As far as she's concerned, the magic humming within her blood can live and die with her. She won't be anyone’s pawn.But then she locks eyes with an",445,4.04,32350
513,"Beautiful Player (Beautiful Bastard, #3)",Christina Lauren,2013,"A bombshell bookworm. A chronic Casanova. And a lesson in chemistry too scandalous for school.When Hanna Bergstrom receives a lecture from her overprotective brother about neglecting her social life and burying herself in grad school, she’s determined to tackle his implied assignment: get out, make friends, start dating. And who better to turn her into the sultry siren eve",432,4.28,67011
514,"The Gamble (Colorado Mountain, #1)",Kristen Ashley,2011,"Nina Sheridan desperately needs a timeout vacation. With a fiancé who can't even remember how she takes her coffee, Nina wants some distance to rethink her engagement. Flying halfway around the world from England to a mountain town in Colorado should do the trick. But when she finds a gorgeous man at her rental cabin, Nina's cold, lonely adventure suddenly heats up.The own",629,4.26,57504
515,She Drives Me Crazy (ebook),Kelly Quindlen,2021,"High school nemeses fall in love in this queer YA rom com perfect for fans of Becky Albertalli and Casey McQuiston.After losing spectacularly to her ex-girlfriend in their first game since their break up, Scottie Zajac gets into a fender bender with the worst possible person: her nemesis, the incredibly beautiful and incredibly mean Irene Abraham. Things only get worse whe",288,4.03,32631
516,Part of Your World (Paperback),Abby Jimenez,2022,"After a wild bet, gourmet grilled-cheese sandwich, and cuddle with a baby goat, Alexis Montgomery has had her world turned upside down. The cause: Daniel Grant, a ridiculously hot carpenter who’s ten years younger than her and as casual as they come—the complete opposite of sophisticated city-girl Alexis. And yet their chemistry is undeniable.While her ultra-wealthy parent",400,4.41,54863
517,"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,2018,"Aelin Galathynius has vowed to save her people ― but at a tremendous cost. Locked within an iron coffin by the Queen of the Fae, Aelin must draw upon her fiery will as she endures months of torture. The knowledge that yielding to Maeve will doom those she loves keeps her from breaking, but her resolve is unraveling with each passing day…With Aelin captured, friends and all",984,4.62,261600
518,"Tower of Dawn (Throne of Glass, #6)",Sarah J. Maas,2017,"Chaol Westfall and Nesryn Faliq have arrived in the shining city of Antica to forge an alliance with the Khagan of the Southern Continent, whose vast armies are Erilea's last hope. But they have also come to Antica for another purpose: to seek healing at the famed Torre Cesme for the wounds Chaol received in Rifthold.After enduring unspeakable horrors as a child, Yrene Tow",660,4.28,246170
519,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",Laini Taylor,2012,"Once upon a time, an angel and a devil fell in love and dared to imagine a world free of bloodshed and war.This is not that world.Art student and monster's apprentice Karou finally has the answers she has always sought. She knows who she is—and what she is. But with this knowledge comes another truth she would give anything to undo: She loved the enemy and he betrayed her,",517,4.14,156341
520,Ayesha at Last (Paperback),Uzma Jalaluddin,2018,"A modern-day Muslim Pride and Prejudice for a new generation of love. Ayesha Shamsi has a lot going on. Her dreams of being a poet have been set aside for a teaching job so she can pay off her debts to her wealthy uncle. She lives with her boisterous Muslim family and is always being reminded that her flighty younger cousin, Hafsa, is close to rejecting her one hundredth m",368,3.89,21810
521,"Real (Real, #1)",Katy Evans,2013,"A fallen boxer.A woman with a broken dream.A competition...He even makes me forget my name. One night was all it took, and I forgot everything and anything except the sexy fighter in the ring who sets my mind ablaze and my body on fire with wanting...Remington Tate is the strongest, most confusing man I've ever met in my life.He’s the star of the dangerous underground figh",293,4.16,106565
522,"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,2021,"She's been the victim and the survivor…Poppy never dreamed she would find the love she’s found with Prince Casteel. She wants to revel in her happiness but first they must free his brother and find hers. It’s a dangerous mission and one with far-reaching consequences neither dreamed of. Because Poppy is the Chosen, the Blessed. The true ruler of Atlantia. She carries the b",645,4.23,160403
523,"The Rogue Not Taken (Scandal & Scoundrel, #1)",Sarah MacLean,2015,"LADY SOPHIE'S SOCIETY SPLASHThe youngest of the infamous Talbot sisters scandalized society at the Liverpool Summer Soiree, striking her sister’s notoriously philandering husband and landing him backside-first in a goldfish pond. And we thought Sophie was the quiet one…When she finds herself the target of very public aristocratic scorn, Sophie Talbot does what she must to ",419,3.95,21806
524,"Do You Want to Start a Scandal (Spindle Cove, #5; Castles Ever After, #4)",Tessa Dare,2016,"On the night of the Parkhurst ball, someone had a scandalous tryst in the library.• Was it Lord Canby, with the maid, on the divan?• Or Miss Fairchild, with a rake, against the wall?• Perhaps the butler did it.All Charlotte Highwood knows is this: it wasn’t her. But rumors to the contrary are buzzing. Unless she can discover the lovers’ true identity, she’ll be forced to m",272,4.07,18892
525,Remember Me? (Hardcover),Sophie Kinsella,2008,"When twenty-eight-year-old Lexi Smart wakes up in a London hospital, she’s in for a big surprise. Her teeth are perfect. Her body is toned. Her handbag is Vuitton. Having survived a car accident—in a Mercedes no less—Lexi has lost a big chunk of her memory, three years to be exact, and she’s about to find out just how much things have changed.Somehow Lexi went from a twent",352,3.8,240254
526,"Kiss the Sky (Calloway Sisters, #1)",Krista Ritchie,2014,"Virgin. Sex addict. Daredevil. Alcoholic. Smartass … Jackass. Her five friends are about to be filmed. Reality TV, be prepared. Rose Calloway thought she had everything under control. At twenty-three, she’s a Princeton graduate, an Academic Bowl champion, a fashion designer and the daughter of a Fortune 500 mogul. But with a sex addict as a sister and roommate, nothing com",443,4.29,47515
527,"Silence (Hush, Hush, #3)",Becca Fitzpatrick,2011,"Nora Grey can't remember the past five months of her life. After the initial shock of waking up in a cemetery and being told that she has been missing for weeks - with no one knowing where she was or who she was with - she tried to get her life back on track. Go to school, hang out with her best friend, Vee, and dodge mom's creepy new boyfriend.But there is this voice in t",448,4.09,269681
528,"Grave Mercy (His Fair Assassin, #1)",Robin LaFevers,2012,"Why be the sheep, when you can be the wolf?Seventeen-year-old Ismae escapes from the brutality of an arranged marriage into the sanctuary of the convent of St. Mortain, where the sisters still serve the gods of old. Here she learns that the god of Death Himself has blessed her with dangerous gifts—and a violent destiny. If she chooses to stay at the convent, she will be tr",549,3.89,104570
529,"Crazy Stupid Bromance (Bromance Book Club, #3)",Lyssa Kay Adams,2020,"Alexis Carlisle and her cat café, ToeBeans, have shot to fame after she came forward as a victim of a celebrity chef’s sexual harassment. When a new customer approaches to confide in her, the last thing Alexis expects is for the woman to claim they’re sisters. Unsure what to do, Alexis turns to the only man she trusts—her best friend, Noah Logan. Computer genius Noah left ",345,3.91,25807
530,"Well Played (Well Met, #2)",Jen DeLuca,2020,"Stacey is jolted when her friends Simon and Emily get engaged. She knew she was putting her life on hold when she stayed in Willow Creek to care for her sick mother, but it's been years now, and even though Stacey loves spending her summers pouring drinks and flirting with patrons at the local Renaissance Faire, she wants more out of life. Stacey vows to have her life figu",313,3.52,22785
531,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,2020,"Yadriel has summoned a ghost, and now he can’t get rid of him.When his traditional Latinx family has problems accepting his gender, Yadriel becomes determined to prove himself a real brujo. With the help of his cousin and best friend Maritza, he performs the ritual himself, and then sets out to find the ghost of his murdered cousin and set it free.However, the ghost he sum",344,4.33,63034
532,"Pucked (Pucked, #1)",Helena Hunting,2015,"With a famous NHL player for a stepbrother, Violet Hall is well acquainted with the playboy reputation of many a hockey star. So of course she isn't interested in legendary team captain Alex Waters or his pretty, beat-up face and rock-hard six-pack abs. But when Alex inadvertently obliterates Violet's misapprehension regarding the inferior intellect of hockey players, he b",380,3.92,58892
533,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor,2017,"The dream chooses the dreamer, not the other way around—and Lazlo Strange, war orphan and junior librarian, has always feared that his dream chose poorly. Since he was five years old he’s been obsessed with the mythic lost city of Weep, but it would take someone bolder than he to cross half the world in search of it. Then a stunning opportunity presents itself, in the pers",544,4.28,107451
534,Redeeming Love (Paperback),Francine Rivers,1991,"California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. Angel expects nothing from men but betrayal. Sold into prostitution as a child, she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside. Then she meets Michael Hosea. A man",479,4.5,273997
535,"Royal Holiday (The Wedding Date, #4)",Jasmine Guillory,2019,"From the New York Times bestselling author of The Proposalcomes a dazzling new novel about a spontaneous holiday vacation that turns into an unforgettable romance.Vivian Forest has been out of the country a grand total of one time, so when she gets the chance to tag along on her daughter Maddie’s work trip to England to style a royal family member, she can’t refuse. She’s ",304,3.5,35927
536,"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,1997,"At birth, Ella is inadvertently cursed by an imprudent young fairy named Lucinda, who bestows on her the ""gift"" of obedience. Anything anyone tells her to do, Ella must obey. Another girl might have been cowed by this affliction, but not feisty Ella: ""Instead of making me docile, Lucinda's curse made a rebel of me. Or perhaps I was that way naturally."" When her beloved mot",232,3.99,403722
537,Bossman (Kindle Edition),Vi Keeland,2016,"ReeseThe first time I met Chase Parker, I didn’t exactly make a good impression. I was hiding in the bathroom hallway of a restaurant, leaving a message for my best friend to save me from my awful date.He overheard and told me I was a bitch, then proceeded to offer me some dating advice.So I told him to mind his own damn business—his own tall, gorgeous, full-of-himself dam",316,4.16,63756
538,"The Hook Up (Game On, #1)",Kristen Callihan,2014,"The rules: no kissing on the mouth, no staying the night, no telling anyone, and above all… No falling in loveAnna Jones just wants to finish college and figure out her life. Falling for star quarterback Drew Baylor is certainly not on her to do list. Confident and charming, he lives in the limelight and is way too gorgeous for his own good. If only she could ignore his he",352,3.97,53050
539,"Still Me (Me Before You, #3)",Jojo Moyes,2018,"From the #1 New York Times bestselling author Jojo Moyes, a new book featuring her iconic heroine of Me Before You and After You, Louisa Clark.Louisa Clark arrives in New York ready to start a new life, confident that she can embrace this new adventure and keep her relationship with Ambulance Sam alive across several thousand miles. She steps into the world of the superric",469,4.12,181067
540,"Warm Bodies (Warm Bodies, #1)",Isaac Marion,2010,"Now a major motion picture from Summit Entertainment.R is having a no-life crisis—he is a zombie. He has no memories, no identity, and no pulse, but he is a little different from his fellow Dead. He may occasionally eat people, but he’d rather be riding abandoned airport escalators, listening to Sinatra in the cozy 747 he calls home, or collecting souvenirs from the ruins ",256,3.91,102702
541,"Lover Unleashed (Black Dagger Brotherhood, #9)",J.R. Ward,2011,"Number-one New York Times best-selling author J.R. Ward's thrilling new novel in the Black Dagger Brotherhood series.Payne, twin sister of Vishous, is cut from the same dark, seductive cloth as her brother. Imprisoned for eons by their mother, the Scribe Virgin, she finally frees herself - only to face a devastating injury.Manuel Manello, M.D., is drafted by the Brotherhoo",512,4.27,90350
542,Marriage for One (Kindle Edition),Ella Maise,2019,"Jack and I, we did everything backward. The day he lured me into his office-which was also the first day we met-he proposed. You'd think a guy who looked like him-a bit cold maybe, but still striking and very unattainable-would only ask the love of his life to marry him, right? You'd think he must be madly in love.  Nope. It was me he asked. A complete stranger who had nev",520,3.93,60911
543,Emergency Contact (Hardcover),Mary H.K. Choi,2018,"For Penny Lee high school was a total nonevent. Her friends were okay, her grades were fine, and while she somehow managed to land a boyfriend, he doesn’t actually know anything about her. When Penny heads to college in Austin, Texas, to learn how to become a writer, it’s seventy-nine miles and a zillion light years away from everything she can’t wait to leave behind.Sam’s",394,3.67,38653
544,"Wicked and the Wallflower (The Bareknuckle Bastards, #1)",Sarah MacLean,2018,"When Wicked Comes Calling...When a mysterious stranger finds his way into her bedchamber and offers his help in landing a duke, Lady Felicity Faircloth agrees—on one condition. She's seen enough of the world to believe in passion, and won't accept a marriage without it.The Wallflower Makes a Dangerous Bargain...Bastard son of a duke and king of London's dark streets, Devil",396,3.98,17089
545,"One Foot in the Grave (Night Huntress, #2)",Jeaniene Frost,2008,"You can run from the grave, but you can’t hide…Half-vampire Cat Crawfield is now Special Agent Cat Crawfield, working for the government to rid the world of the rogue undead. She’s still using everything Bones, her sexy and dangerous ex, taught her, but when Cat is targeted for assassination, the only man who can help her is the vampire she left behind.Being around Bones a",357,4.29,101508
546,"Never Seduce a Scot (The Montgomerys and Armstrongs, #1)",Maya Banks,2012,"Eveline Armstrong is fiercely loved and protected by her powerful clan, but outsiders consider her “touched.” Beautiful, fey, with a level, intent gaze, she doesn’t speak. No one, not even her family, knows that she cannot hear. Content with her life of seclusion, Eveline has taught herself to read lips and allows the outside world to view her as daft. But when an arranged",373,4.15,31542
547,"Captivated by You (Crossfire, #4)",Sylvia Day,2014,"Gideon calls me his angel, but he’s the miracle in my life. My gorgeous, wounded warrior, so determined to slay my demons while refusing to face his own.The vows we’d exchanged should have bound us tighter than blood and flesh. Instead they opened old wounds, exposed pain and insecurities, and lured bitter enemies out of the shadows. I felt him slipping from my grasp, my g",356,4.12,104998
548,The Dead Romantics (Paperback),Ashley Poston,2022,"Florence Day is the ghostwriter for one of the most prolific romance authors in the industry, and she has a problem—after a terrible breakup, she no longer believes in love. It’s as good as dead. When her new editor, a too-handsome mountain of a man, won’t give her an extension on her book deadline, Florence prepares to kiss her career goodbye. But then she gets a phone ca",368,4.1,27054
549,"The Last Boyfriend (Inn BoonsBoro Trilogy, #2)",Nora Roberts,2012,"Owen is the organizer of the Montgomery clan, running the family's construction business with an iron fist - and an even less flexible spreadsheet. And though his brothers give him grief for his compulsive list making, the Inn BoonsBoro is about to open right on schedule. The only thing Owen didn't plan for was Avery MacTavish....Avery's popular pizza place is right across",11,4.08,46691
550,Forbidden (Paperback),Tabitha Suzuma,2010,"She is pretty and talented - sweet sixteen and never been kissed. He is seventeen; gorgeous and on the brink of a bright future. And now they have fallen in love. But... they are brother and sister.Seventeen-year-old Lochan and sixteen-year-old Maya have always felt more like friends than siblings. Together they have stepped in for their alcoholic, wayward mother to take c",418,4.0,67402
551,By Your Side (Paperback),Kasie West,2017,"An irresistible story from Kasie West that explores the timeless question: What do you do when you fall for the person you least expect?When Autumn Collins finds herself accidentally locked in the library for an entire weekend, she doesn't think things could get any worse. But that's before she realizes that Dax Miller is locked in with her.Autumn doesn't know much about D",346,3.86,47582
552,"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,2013,"With their countries on the brink of war, Damen and his new master, Prince Laurent, must exchange the intrigues of the palace for the sweeping might of the battlefield as they travel to the border to avert a lethal plot.Forced to hide his identity, Damen finds himself increasingly drawn to the dangerous, charismatic Laurent. But as the fledgling trust between the two men d",216,4.38,57475
553,The Witness (Paperback),Nora Roberts,2012,"Daughter of a controlling mother, Elizabeth finally let loose one night, drinking at a nightclub and allowing a strange man's seductive Russian accent lure her to a house on Lake Shore Drive. The events that followed changed her life forever. Twelve years later, the woman known as Abigail Lowery lives on the outskirts of a small town in the Ozarks. A freelance programmer, ",757,4.22,75491
554,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,1986,"An alternative cover for this ISBN can be found hereSophie has the great misfortune of being the eldest of three daughters, destined to fail miserably should she ever leave home to seek her fate. But when she unwittingly attracts the ire of the Witch of the Waste, Sophie finds herself under a horrid spell that transforms her into an old lady. Her only chance at breaking it",329,4.28,284025
555,"Dragon Bound (Elder Races, #1)",Thea Harrison,2011,"Half-human and half-Wyr, Pia Giovanni spent her life keeping a low profile among the Wyrkind and avoiding the continuing conflict between them and their Dark Fae enemies. But after being blackmailed into stealing a coin from the hoard of a dragon, Pia finds herself targeted by one of the most powerful—and passionate—of the Elder Races.As the most feared and respected of th",312,4.08,48193
556,"Match Me If You Can (Chicago Stars, #6)",Susan Elizabeth Phillips,2005,"You met quarterback Kevin Tucker in This Heart of Mine. Now get ready to meet his shark of an agent, Heath Champion, and Annabelle Granger, the girl least likely to succeed.Annabelle's endured dead-end jobs, a broken engagement . . . even her hair's a mess! But that's going to change now that she's taken over her late grandmother's matchmaking business. All Annabelle has t",388,4.13,45324
557,Without Merit (Kindle Edition),Colleen Hoover,2017,"Not every mistake deserves a consequence. Sometimes the only thing it deserves is forgiveness.The Voss family is anything but normal. They live in a repurposed church, newly baptized Dollar Voss. The once cancer-stricken mother lives in the basement, the father is married to the mother’s former nurse, the little half-brother isn’t allowed to do or eat anything fun, and the",385,3.85,125196
558,Suddenly You (Mass Market Paperback),Lisa Kleypas,2000,"Bestselling author Lisa Kleypas creates a beguiling story, set in a world where appearance means everything, passion simmers just below the surface, and a respectable Englishwoman is willing to risk scandal for one night of love.She was unmarried, untouched and almost thirty, but novelist Amanda Briars wasn't about to greet her next birthday without making love to a man. W",384,3.94,26999
559,The Thorn Birds (Mass Market Paperback),Colleen McCullough,1977,"The Thorn Birds is a robust, romantic saga of a singular family, the Clearys. It begins in the early part of the 20th century, when Paddy Cleary moves his wife, Fiona, and their seven children to Drogheda, the vast Australian sheep station owned by his autocratic and childless older sister; and it ends more than half a century later, when the only survivor of the third gen",692,4.24,336478
560,"Torment (Fallen, #2)",Lauren Kate,2010,"Hell on earth.That’s what it’s like for Luce to be apart from her fallen angel boyfriend, Daniel. It took them an eternity to find one another, but now he has told her he must go away. Just long enough to hunt down the Outcasts—immortals who want to kill Luce. Daniel hides Luce at Shoreline, a school on the rocky California coast with unusually gifted students: Nephilim, t",452,3.85,226778
561,The Roughest Draft (Paperback),Emily Wibberley,2022,"They were cowriting literary darlings until they hit a plot hole that turned their lives upside down.Three years ago, Katrina Freeling and Nathan Van Huysen were the brightest literary stars on the horizon, their cowritten books topping bestseller lists. But on the heels of their greatest success, they ended their partnership on bad terms, for reasons neither would divulge",317,3.67,26355
562,"Under the Never Sky (Under the Never Sky, #1)",Veronica Rossi,2011,"WORLDS KEPT THEM APART.DESTINY BROUGHT THEM TOGETHER.Aria has lived her whole life in the protected dome of Reverie. Her entire world confined to its spaces, she's never thought to dream of what lies beyond its doors. So when her mother goes missing, Aria knows her chances of surviving in the outer wasteland long enough to find her are slim.Then Aria meets an outsider name",374,3.99,113454
563,"A Night Like This (Smythe-Smith Quartet, #2)",Julia Quinn,2012,"Anne Wynter might not be who she says she is...But she's managing quite well as a governess to three highborn young ladies. Her job can be a challenge—in a single week she finds herself hiding in a closet full of tubas, playing an evil queen in a play that might be a tragedy (or might be a comedy—no one is sure), and tending to the wounds of the oh-so-dashing Earl of Winst",373,3.87,26914
564,"Beard Science (Winston Brothers, #3)",Penny Reid,2016,"NEW YORK TIMES, WALL STREET JOURNAL, & USA TODAY bestselling seriesFinalist: Goodreads Choice Awards, Best Romance 2016Make a deal with the devil and you might get what you want, but will it be what you need?Jennifer Sylvester wants one thing, and that one thing is NOT to be Tennessee’s reigning Banana Cake Queen. Ever the perpetual good girl and obedient daughter, Jennife",384,4.41,31256
565,RoomHate (Paperback),Penelope Ward,2016,"Sharing a summer house with a hot-as-hell roommate should be a dream come true, right? Not when it’s Justin… the only person I’d ever loved… who now hates me.When my grandmother died and left me half of the house on Aquidneck Island, there was a catch: the other half would go to the boy she helped raise.The same boy who turned into the teenager whose heart I broke years ag",320,3.9,59673
566,"Never Never (Never Never, #1)",Colleen Hoover,2015,"Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning... they are complete strangers. Their first kiss, their first fight, the moment they fell in love... every memory has vanished.Charlie and Silas must work together to uncover the truth about what happened to them and why. But t",158,4.02,86589
567,The Sky Is Everywhere (Hardcover),Jandy Nelson,2010,"Adrift after her sister Bailey's sudden death, Lennie finds herself torn between quiet, seductive Toby—Bailey's boyfriend who shares her grief—and Joe, the new boy in town who bursts with life and musical genius. Each offers Lennie something she desperately needs... though she knows if the two of them collide her whole world will explode.Join Lennie on this heartbreaking a",288,3.97,102011
568,"Key of Light (Key Trilogy, #1)",Nora Roberts,2003,"Malory Price’s life plan has hit a snag. She’s in danger of losing her job managing an art gallery in Pleasant Valley, Pennsylvania. A welcome distraction comes in the form of an invitation to a cocktail party at Warrior’s Peak, an infamous estate overlooking the town. But no one else she knows has been invited…There are only two other guests: Dana Steele, a librarian, and",334,4.17,59041
569,"Dating Dr. Dil (If Shakespeare was an Auntie, #1)",Nisha Sharma,2022,"Dating Dr. Dil features a love-phobic TV doctor who must convince a love-obsessed homebody they are destined to be together. Kareena Mann dreams of having a love story like her parents, but she prefers restoring her classic car to swiping right on dating apps. When her father announces he’s selling her mother’s home, Kareena makes a deal with him: he’ll gift her the house ",364,3.73,29881
570,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,2016,"The Shadowhunters of Los Angeles star in the first novel in Cassandra Clare’s newest series, The Dark Artifices, a sequel to the internationally bestselling Mortal Instruments series. Lady Midnight is a Shadowhunters novel.It’s been five years since the events of City of Heavenly Fire that brought the Shadowhunters to the brink of oblivion. Emma Carstairs is no longer a ch",688,4.37,209164
571,"Play (Stage Dive, #2)",Kylie Scott,2014,"Kylie Scott returns with the highly anticipated follow-up to international bestseller Lick.Mal Ericson, the drummer for the world-famous rock band Stage Dive, needs to clean up his image fast—at least for a little while. Having a good girl on his arm should do the job just fine. Mal doesn't plan on this temporary fix becoming permanent, but he didn't count on finding the o",306,4.26,55646
572,Stuck-Up Suit (ebook),Vi Keeland,2016,"Four consecutive weeks on the New York Times and #1 in Romance. It started out like any other morning on the train.Until I became mesmerized by the guy sitting across the aisle.He was barking at someone on his phone like he ruled the world.Who did the stuck-up suit think he was...God?Actually, he looked like a God. That was about it.When his stop came, he got up suddenly a",245,4.1,65530
573,"Finding Cinderella (Hopeless, #2.5)",Colleen Hoover,2013,"A chance encounter in the dark leads eighteen-year-old Daniel and the girl who stumbles across him to profess their love for each other. But this love has conditions: they agree it will last only one hour, and it will be only make-believe.When their hour is up and the girl rushes off like Cinderella, Daniel tries to convince himself that what happened between them seemed p",176,4.16,87058
574,"Dark Witch (The Cousins O'Dwyer Trilogy, #1)",Nora Roberts,2013,"With indifferent parents, Iona Sheehan grew up craving devotion and acceptance. From her maternal grandmother, she learned where to find both: a land of lush forests, dazzling lakes, and centuries-old legends.Ireland.County Mayo, to be exact. Where her ancestors’ blood and magic have flowed through generations—and where her destiny awaits.Iona arrives in Ireland with nothi",342,3.95,60592
575,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,2017,"There will be plenty of time for me to beat him soundly once I’ve gotten what I came for.Sent on a mission to retrieve an ancient hidden map—the key to a legendary treasure trove—seventeen-year-old pirate captain Alosa deliberately allows herself to be captured by her enemies, giving her the perfect opportunity to search their ship.More than a match for the ruthless pirate",311,4.01,128969
576,"Perfection (Neighbor from Hell, #2)",R.L. Mathewson,2011,"Zoe is used to taking care of herself and has long ago accepted that if anything bad was going to happen, it was going to happen to her. So when she loses her job over something most bosses would probably be happy with and her life starts going down hill from there she doesn't expect it to get any better. She certainly didn't expect any help from the loud jerk next door, b",247,4.13,64231
577,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,2009,"Manchmal ist es ein echtes Kreuz, in einer Familie zu leben, die jede Menge Geheimnisse hat. Der Überzeugung ist zumindest die 16-jährige Gwendolyn.Bis sie sich eines Tages aus heiterem Himmel im London um die letzte Jahrhundertwende wiederfindet. Und ihr klar wird, dass ausgerechnet sie das allergrößte Geheimnis ihrer Familie ist. Was ihr dagegen nicht klar ist: Dass man ",343,4.12,138597
578,Luna and the Lie (ebook),Mariana Zapata,2018,"The problem with secrets is that they’re too easy to keep collecting.Luna Allen has done some things she would rather no one ever know about. She also knows that, if she could go back in time, she wouldn’t change a single thing.With three sisters she loves, a job she (mostly) adores, and a family built up of friends she’s made over the years, Luna figures everything has wo",580,4.1,43382
579,"Portrait of a Scotsman (A League of Extraordinary Women, #3)",Evie Dunmore,2021,"London banking heiress Hattie Greenfield wanted ""just"" three things in life:1. Acclaim as an artist.2. A noble cause.3. Marriage to a young lord who puts the gentle in gentleman.Why then does this Oxford scholar find herself at the altar with the darkly attractive financier Lucian Blackstone, whose murky past and ruthless business practices strike fear in the hearts of Bri",448,3.88,22701
580,"Bound by Honor (Born in Blood Mafia Chronicles, #1)",Cora Reilly,2014,"A modern mafia fairytale.Born into one of the leading mob families in Chicago, Aria Scuderi is a mafia princess known for her beauty. What many consider a gift means her doom when she’s forced to marry Luca Vitiello to bring peace between two mafia dynasties. Luca is the future Capo of the New York Famiglia, a man known for his brutality—and for crushing his cousin’s throa",273,3.87,77006
581,One Plus One (Paperback),Jojo Moyes,2014,"One single mom. One chaotic family. One quirky stranger. One irresistible love story from the New York Times bestselling author of The Giver of Stars   American audiences have fallen in love with Jojo Moyes. Ever since she debuted Stateside she has captivated readers and reviewers alike, and hit the New York Times bestseller list with the word-of-mouth sensation Me Before ",368,3.95,162582
